indice_tiempo,país de residencia,turistas_no_residentes,pernoctes_no_residentes,estadia_media_no_residentes,observaciones
2022-07-01,Uruguay,7722,40323,5.2,""
2022-07-01,EE.UU y Canadá,53422,839418,15.7,""
2022-07-01,Resto América,64514,1253392,19.4,""
2022-07-01,Europa,58892,1649110,28,""
2022-07-01,Resto del Mundo,9519,238997,25.1,""
2022-10-01,Bolivia,14180,163378,11.5,""
2022-10-01,Brasil,113884,873052,7.7,""
2022-10-01,Chile,55581,383450,6.9,""
2022-10-01,Paraguay,9824,51534,5.2,""
2022-10-01,Uruguay,8669,41716,4.8,""
2022-10-01,EE.UU y Canadá,89325,1299909,14.6,""
2022-10-01,Resto América,89558,1880888,21,""
2022-10-01,Europa,108910,2302334,21.1,""
2022-10-01,Resto del Mundo,20308,431703,21.3,""
2023-01-01,Bolivia,11120,155152,14,""
2023-01-01,Brasil,106753,941568,8.8,""
2023-01-01,Chile,68260,519809,7.6,""
2023-01-01,Paraguay,7178,63639,8.9,""
2023-01-01,Uruguay,7549,40001,5.3,""
2023-01-01,EE.UU y Canadá,137782,2045755,14.8,""
2023-01-01,Resto América,91878,1577677,17.2,""
2023-01-01,Europa,168052,4543774,27,""
2023-01-01,Resto del Mundo,29089,878738,30.2,""
2023-04-01,Bolivia,8739,101521,11.6,""
2023-04-01,Brasil,142724,1114130,7.8,""
2023-04-01,Chile,81425,494247,6.1,""
2023-04-01,Paraguay,9775,78913,8.1,""
2023-04-01,Uruguay,11466,58262,5.1,""
2023-04-01,EE.UU y Canadá,70959,1030914,14.5,""
2023-04-01,Resto América,89101,1222461,13.7,""
2023-04-01,Europa,88012,2291436,26,""
2023-04-01,Resto del Mundo,20079,554373,27.6,""
2023-07-01,Bolivia,12146,137767,11.3,""
2023-07-01,Brasil,217312,1791211,8.2,""
2023-07-01,Chile,92916,610503,6.6,""
2023-07-01,Paraguay,11048,74867,6.8,""
2023-07-01,Uruguay,13799,67445,4.9,""
2023-07-01,EE.UU y Canadá,67820,1127512,16.6,""
2023-07-01,Resto América,109121,1525481,14,""
2023-07-01,Europa,76029,1892789,24.9,""
2023-07-01,Resto del Mundo,17228,397493,23.1,""
2023-10-01,Bolivia,13218,170095,12.9,""
2023-10-01,Brasil,169961,1849211,10.9,""
2023-10-01,Chile,97520,531012,5.4,""
2023-10-01,Paraguay,10334,60614,5.9,""
2023-10-01,Uruguay,11692,54411,4.7,""
2023-10-01,EE.UU y Canadá,109761,1390307,12.7,""
2023-10-01,Resto América,129516,2614562,20.2,""
2023-10-01,Europa,137156,3008346,21.9,""
2023-10-01,Resto del Mundo,29858,789400,26.4,""
2024-01-01,Bolivia,10717,143272,13.4,""
2024-01-01,Brasil,167449,1420150,8.5,""
2024-01-01,Chile,81797,584552,7.1,""
2024-01-01,Paraguay,7708,46068,6,""
2024-01-01,Uruguay,10597,52119,4.9,""
2024-01-01,EE.UU y Canadá,140141,2064643,14.7,""
2024-01-01,Resto América,116527,1717504,14.7,""
2024-01-01,Europa,192462,4734168,24.6,""
2024-01-01,Resto del Mundo,39152,757327,19.3,""
2024-04-01,Bolivia,7782,100252,12.9,""
2024-04-01,Brasil,166632,1209769,7.3,""
2024-04-01,Chile,52035,301484,5.8,""
2024-04-01,Paraguay,8847,42096,4.8,""
2024-04-01,Uruguay,11293,62841,5.6,""
2024-04-01,EE.UU y Canadá,66751,965878,14.5,""
2024-04-01,Resto América,103812,1435234,13.8,""
2024-04-01,Europa,92143,2219350,24.1,""
2024-04-01,Resto del Mundo,22097,560956,25.4,""
2024-07-01,Bolivia,7765,121163,15.6,""
2024-07-01,Brasil,222718,1732810,7.8,""
2024-07-01,Chile,63152,390287,6.2,""
2024-07-01,Paraguay,11444,69458,6.1,""
2024-07-01,Uruguay,16262,93323,5.7,""
2024-07-01,EE.UU y Canadá,55096,916934,16.6,""
2024-07-01,Resto América,114272,1458154,12.8,""
2024-07-01,Europa,77720,1747140,22.5,""
2024-07-01,Resto del Mundo,18254,471104,25.8,""
2024-10-01,Bolivia,8899,140947,15.8,""
2024-10-01,Brasil,165146,1367715,8.3,""
2024-10-01,Chile,61589,399406,6.5,""
2024-10-01,Paraguay,8785,76709,8.7,""
2024-10-01,Uruguay,9168,43757,4.8,""
2024-10-01,EE.UU y Canadá,92568,1170779,12.6,""
2024-10-01,Resto América,125670,1823899,14.5,""
2024-10-01,Europa,135374,2699615,19.9,""
2024-10-01,Resto del Mundo,32610,737792,22.6,""
2025-01-01,Bolivia,7547,116365,15.4,""
2025-01-01,Brasil,97901,851698,8.7,""
2025-01-01,Chile,50572,358962,7.1,""
2025-01-01,Paraguay,7298,62882,8.6,""
2025-01-01,Uruguay,7735,62482,8.1,""
2025-01-01,EE.UU y Canadá,123909,1503614,12.1,""
,,,,,""
2025-01-01,Europa,196276,4374459,22.3,""
2025-01-01,Resto del Mundo,40707,1050770,25.8,""
2025-04-01,Bolivia,7477,106269,14.2,""
2025-04-01,Brasil,127683,1024367,8,""
2025-04-01,Chile,48832,351880,7.2,""
2025-04-01,Paraguay,8305,90095,10.8,""
2025-04-01,Uruguay,9444,52720,5.6,""
2025-04-01,EE.UU y Canadá,57596,801089,13.9,""
2025-04-01,Resto América,90160,1288661,14.3,""
2025-04-01,Europa,89144,2107236,23.6,""
2025-04-01,Resto del Mundo,23026,435553,18.9,""
2025-07-01,Bolivia,7102,115098,16.2,""
2025-07-01,Brasil,178918,1600699,8.9,""
2025-07-01,Chile,51717,469298,9.1,""
2025-07-01,Paraguay,10538,119933,11.4,""
2025-07-01,Uruguay,10662,68819,6.5,""
2025-07-01,EE.UU y Canadá,52970,722401,13.6,""
2025-07-01,Resto América,102847,1549893,15.1,""
2025-07-01,Europa,77679,1653163,21.3,""
2025-07-01,Resto del Mundo,21723,471140,21.7,""
2025-10-01,Bolivia,8312,88685,10.7,""
2025-10-01,Brasil,141817,1125087,7.9,""
2025-10-01,Chile,55777,394132,7.1,""
2025-10-01,Paraguay,11721,113377,9.7,""
2025-10-01,Uruguay,9363,42198,4.5,""
2025-10-01,EE.UU y Canadá,97961,1270938,13,""
2025-10-01,Resto América,127343,1950929,15.3,""
2025-10-01,Europa,148118,2978664,20.1,""
,,,,,""
