trimestre,porcentaje_CO,turistas_no_residentes_BA,turistas_no_residentes_CO
1,2.7612028210040966,3995161,113447
2,3.0179185414699896,2425453,75476
3,3.360125413943409,2347456,81620
4,2.8784732903051466,3507778,103963
