trimestre,porcentaje_CO,turistas_no_residentes_BA,turistas_no_residentes_CO
1,4.83175704989154,548407,27843
2,4.8843797856049,496884,25516
3,5.48927932695206,564384,32780
4,5.795183786481829,600177,36921
